IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,501646937,8199.995,799.9995,7288.7886,6.370754,-0.20059755,8.086608,-1.6450477,-0.09405255,17.684706,0.01285255,0.7632711,0.105562724,-0.58035636,0.049596895,0.0029531722,0.3978497,0.28891575,0.568123,0.44205058,-0.0049365386,-0.010526658,0.9338099,1.8862581,54.31936,50.310173,60.04221,62.29794,0,0,0,0,0,0,0,0,0,0,0,0,0.2246064,0.26271006,1.0970234,1.2700957,0.22466065,0.2629209,1.440646,2.274008,-0.005548544,-0.01288411,0.007279344,-0.00081279874,32,4,132,1,8,-299.0481,227.20691,-5566.203,17.761301,423569.53,556.5525,113.79923,113.08865,209.68353,209.68353,18.281693,1,0,0,0,0,211.04697,0,0,255,0,0,0,1,0,0,0
True,501647031,8199.995,799.9995,7876.881,10.625897,0.2297914,8.43201,-1.806251,-0.052775204,18.33821,-0.008309323,0.7382872,0.035355356,-0.50532234,0.048741218,0.0133573115,0.47523412,0.25861457,0.62660813,0.38290626,-0.0066156266,-0.022834912,1.2422849,2.1918285,56.202072,52.244843,64.893394,67.31771,0,0,0,0,0,0,0,0,0,0,0,0,0.31602457,0.37358013,1.1146829,1.2696595,0.3160938,0.37427738,1.6690686,2.5330114,-0.0003375113,-0.014924578,0.011033297,-0.0046090633,32,4,132,1,8,-300.12274,227.1093,-5564.752,18.427023,422185.44,512.6479,113.71778,113.00774,207.48091,207.48091,21.235779,1,0,0,0,0,211.14694,0,0,255,0,0,0,1,0,0,0
True,501647156,8199.995,799.9995,7750.075,12.222197,-0.27522781,7.182247,-1.8490925,-0.079425454,18.960062,0.0041798614,0.68249995,0.024792645,-0.4225396,0.04730476,0.020487335,0.4552033,0.21843894,0.6266048,0.36134386,-0.0052552414,-0.020919105,0.9883638,1.6597389,57.89389,54.219887,64.50877,65.57393,0,0,0,0,0,0,0,0,0,0,0,0,0.36181784,0.42471054,1.0936071,1.2165256,0.36185598,0.4252254,1.4740554,2.0578308,-0.0016863793,-0.017629988,0.0110330805,-0.0059930757,32,4,132,1,8,-301.2862,226.99368,-5562.897,19.050182,425179,525.0313,113.63409,112.92027,205.11935,205.11935,20.77325,1,0,0,0,0,211.26381,0,0,255,0,0,0,1,0,0,0
True,501647250,8199.995,799.9995,7285.3613,13.136124,-0.3330614,6.2078843,-1.7574353,-0.07778984,19.452282,0.026409905,0.608354,0.0315006,-0.3572931,0.047098864,0.026748193,0.45504463,0.19239527,0.64485514,0.34502956,-0.002192275,-0.019751603,0.41941488,0.9287938,59.156685,55.85394,60.701115,61.5815,0,0,0,0,0,0,0,0,0,0,0,0,0.3565152,0.42110717,0.9943191,1.1291958,0.35652196,0.42157015,1.0791568,1.4621016,-0.0016970634,-0.019383758,0.0122045055,-0.0070402324,32,4,132,1,8,-302.18155,226.89116,-5561.192,19.531668,399789.56,525.8543,113.57129,112.850815,203.27249,203.27249,15.16084,1,0,0,0,0,211.3636,0,0,255,0,0,0,1,0,0,0
True,501647375,8199.995,799.9995,6590.2944,14.853782,-0.48243874,2.537704,-1.2378912,-0.05373144,19.581081,0.042588018,0.44099864,0.014203439,-0.2945483,0.049253482,0.032227155,0.5247912,0.21835575,0.6178038,0.29739314,0.0018081713,-0.003961571,-0.018418657,0.07728781,59.120636,56.772392,56.55562,55.200184,0,0,0,0,0,0,0,0,0,0,0,0,0.24572083,0.28756785,0.72347045,0.8107951,0.24572748,0.28759512,0.7237049,0.81447047,0.002999641,-0.017635591,0.0104681775,-0.010097846,32,4,132,1,8,-303.0767,226.76828,-5559.087,19.620245,-182348.8,-263.3391,113.50688,112.77492,201.16693,201.16693,-5.0415077,1,0,0,0,0,211.48029,0,0,255,0,0,0,2,0,0,0
True,501647468,8199.995,799.9995,5790.0923,9.69436,-0.4445073,6.5782924,-1.0478144,-0.069603324,20.168928,-0.012262109,0.39473274,-0.0721965,-0.25502208,0.049707375,0.029769538,0.543159,0.29065493,0.58153594,0.3624294,-0.006916327,-0.014161104,1.8583328,2.2070441,60.729107,58.619324,75.207855,75.672905,0,0,0,0,0,0,0,0,0,0,0,0,0.21038008,0.23078084,0.62466615,0.64932626,0.21049373,0.23121491,1.9605123,2.30058,0.0042365193,-0.012766995,0.008140273,-0.005923398,32,4,132,1,8,-303.71405,226.6606,-5557.207,20.196247,325047.44,535.8529,113.4514,112.71351,199.76697,199.76697,8.911969,1,0,0,0,0,211.58055,0,0,255,0,0,0,2,0,0,0
True,501647593,8199.995,799.9995,5898.128,1.4303244,-0.12991038,8.702655,-1.6638775,-0.13950294,21.179602,-0.018307157,0.1635998,-0.07430577,-0.22151043,0.046646457,0.021627583,0.45341343,0.30924943,0.5770259,0.52657354,-0.00834914,-0.012688439,1.7753435,1.7467469,63.19939,62.335728,77.36113,76.334885,0,0,0,0,0,0,0,0,0,0,0,0,-0.3771971,-0.30421767,0.7307389,0.72772557,0.37728947,0.30448216,1.91985,1.8922763,-0.0018069074,-0.01151485,0.0078507885,0.004612431,32,4,132,1,8,-304.4296,226.52844,-5554.9033,21.245317,409073,662.9281,113.381996,112.653786,198.24377,198.24377,19.845245,1,0,0,0,0,211.69704,0,0,255,0,0,0,2,-127,0,0
True,501647687,8199.995,799.9995,6034.685,0.056512356,0.15521489,9.114166,-1.7756634,-0.1510393,22.103273,0.0019122977,-0.068268366,-0.04508877,-0.21666938,0.045638807,0.015522555,0.4151695,0.2747206,0.5875067,0.63074255,-0.007544532,-0.014943133,1.6935381,1.492171,65.47378,65.7682,79.26545,77.98903,0,0,0,0,0,0,0,0,0,0,0,0,-0.088292696,-0.04292327,0.6389292,0.62346953,0.08861444,0.04545002,1.8100557,1.6171855,-0.004382238,-0.013840005,0.008523516,0.011298671,32,4,132,1,8,-305.0667,226.41093,-5552.836,22.174995,429401.06,679.74457,113.33106,112.609924,197.03525,197.03525,21.572124,1,0,0,0,0,211.79683,0,0,255,0,0,0,2,0,0,0
True,501647812,8199.995,799.9995,6165.885,5.3698764,0.30538788,9.786365,-0.8369446,-0.12276983,23.290298,-0.032435227,-0.056860127,0.020685218,-0.22256157,0.045678966,0.017323088,0.50258315,0.689366,0.6272181,0.5183966,-0.010672132,-0.0094858045,1.1817437,1.5350416,68.789635,69.10165,78.69425,81.97907,0,0,0,0,0,0,0,0,0,0,0,0,-0.29905617,-0.24825138,0.2576456,0.27093711,0.29924655,0.24843255,1.2095038,1.5587686,0.0015041605,0.014082037,0.011072449,0.004087582,32,4,132,1,8,-305.78058,226.2699,-5550.2812,23.305653,439505.66,680.8658,113.28793,112.5561,195.64272,195.64272,21.970177,1,0,0,0,0,211.91359,0,0,255,0,0,0,2,-127,0,0
True,501647906,8199.995,799.9995,6294.0513,-1.8983896,0.21293437,9.539339,-0.80836487,-0.24538499,24.24786,-0.087485634,-0.24636923,-0.021771349,-0.23833579,0.039818887,0.015945237,0.37594184,0.44319034,0.69112206,0.56760126,-0.0627126,-0.007205704,0.9694801,1.4546303,70.580574,72.46499,79.21844,84.794716,0,0,0,0,0,0,0,0,0,0.120000005,0,0,-0.5854196,-0.45660228,0.16762115,0.1825807,0.588769,0.4566591,0.98386407,1.466044,-0.0070238113,-0.002495326,0.0151742175,0.0072458535,32,4,132,1,8,-306.40164,226.1494,-5547.9883,24.262571,446592.62,678.1926,113.23637,112.52504,194.56891,194.56891,22.032726,1,0,0,0,0,212.01347,0,0,255,0,0,0,2,-127,0,0
