IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,584343765,9999.995,1099.9994,6705.182,-20.608698,0.93252647,-2.3310099,8.819269,0.35400784,60.12555,0.023252448,-0.51756096,0.027119745,1.0476586,-0.014795134,0.042964377,0.30053648,0.65061647,0.3427714,0.6880805,-0.17509323,-0.037132062,-0.010343577,-0.043786567,175.02425,180.89098,172.49112,173.90955,0,0,0,0,0,0,0,0,0,0,0,0,-2.3307385,-2.0251486,-1.2940935,-1.1607381,2.337306,2.025489,1.2941349,1.1615636,-0.010407254,0.023329936,-0.0038142502,0.028137654,116,4,98,2,10,359.8395,213.3263,-4993.721,60.769947,-141246.23,-201.06999,122.25167,122.80662,122.86449,122.86449,-14.7,1,0,0,0,0,354.73206,0,0,0,0,0,0,5,-127,0,0
True,584343875,9999.995,1099.9994,6622.8306,-22.107664,1.767071,-2.2008562,9.75808,0.45105237,59.330822,-0.028221633,-0.5150652,-0.003204076,0.9960791,-0.0132418815,0.045729235,0.35865167,0.72345203,0.31656778,0.6615092,-0.121965304,-0.03436088,-0.0143662775,-0.04240906,173.59976,178.33168,170.17787,171.69588,0,0,0,0,0,0,0,0,0,0,0,0,-2.4628487,-2.0742378,-1.4165059,-1.2447451,2.4658668,2.0745225,1.4165788,1.2454673,-0.0048066974,0.030349098,-0.0062389076,0.025678981,116,4,98,2,10,365.39557,213.48776,-4991.4067,60.129612,-137441.27,-198.09987,123.66069,124.431625,123.150795,123.150795,-14.7,1,0,0,0,0,354.83167,0,0,0,0,0,0,5,-127,0,0
True,584343984,9999.995,1099.9994,6505.568,-20.584698,1.02577,-2.2594852,10.723198,0.4160002,58.407692,-0.03635601,-0.48165923,-0.03968212,0.9384894,-0.013838166,0.045091253,0.33970088,0.63534355,0.29793587,0.61432904,-0.14046283,-0.04392185,-0.02097232,-0.051511895,170.23878,174.96721,167.42474,168.74344,0,0,0,0,0,0,0,0,0,0,0,0,-2.6357298,-2.3456886,-1.5856937,-1.4153477,2.6394699,2.3460999,1.5858324,1.4162848,-0.0066329837,0.021858089,-0.007962942,0.02131334,116,4,98,2,10,371.70605,213.68758,-4988.491,59.38534,-132146.73,-193.89832,125.69451,126.94534,123.5009,123.5009,-14.7,1,0,0,0,0,354.94806,0,0,0,0,0,0,5,-127,0,0
True,584344093,9999.995,1099.9994,6384.4497,-19.832447,0.48544765,-2.0426292,11.444309,0.3832351,57.50925,0.007082112,-0.41059455,0.005632654,0.8859051,-0.014071846,0.042950004,0.26687032,1,0.29897216,0.60717994,-0.22173999,-0.04342768,-0.023207407,-0.053606283,165.7353,171.80273,164.87236,165.90997,0,0,0,0,0,0,0,0,0,0.59999996,0,0,-2.8800478,-2.5622902,-1.6952925,-1.5527726,2.8885713,2.562658,1.6954513,1.5536977,-0.013651662,0.05700001,-0.007867053,0.020651821,116,4,98,2,10,377.838,213.88834,-4985.368,58.638153,-126803.6,-189.57266,128.0656,130.23833,123.857605,123.857605,-14.7,1,0,0,0,0,355.06473,0,0,0,0,0,0,5,-127,0,0
True,584344218,9999.995,1099.9994,6249.073,-13.736038,5.587988,-2.2076292,12.368708,0.6197858,56.60743,-0.26727766,-0.44828534,0.08034843,0.8410352,-0.0024910367,0.15786874,1,0.5426975,1,0.509668,-0.021172777,0,-0.09124946,0,166.97748,166.71349,160.79909,160.64133,0,0,0,0,0,0,0,0,0.59999996,0,0.59999996,0,-2.2697701,0,-1.9685107,0,2.2698689,0,1.9706246,0,0.05700001,0.01292979,0.05699998,0.011628911,116,4,98,2,10,383.80212,214.16644,-4982.0586,57.946262,-120970.24,-184.74571,131.9549,133.24225,124.20183,124.20183,-14.7,1,0,0,0,0,355.18198,0,0,0,0,0,0,5,-127,0,0
True,584344312,9999.995,1099.9994,6091.3896,-7.116068,-3.9664123,-1.3952692,14.264141,1.2534411,55.81225,-0.1097796,-0.48651406,-1.2837095,0.79302454,-0.0077309534,0.042933162,0.39140138,0.24654847,0.29590636,0.212191,0,-0.0873024,0,0,162.04065,162.72919,156.83954,156.84227,0,0,0,0,0,0,0,0,0,0.120000005,0,0,0,-1.5985898,0,0,0,1.6009719,0,0,-0.0016506091,-0.0156100765,-0.008150734,-0.015897028,116,4,98,2,10,388.79227,214.4392,-4979.1646,57.619816,-114337.59,-179.11504,133.19331,132.4836,124.119705,124.119705,-14.7,1,0,0,0,0,355.28198,0,0,0,0,0,0,5,-127,0,0
True,584344453,9999.995,1099.9994,6033.8267,-10.6280155,-3.3937356,-1.5023265,16.229635,1.5091286,54.55934,0.012484692,-0.44498804,0.16260892,0.72968256,-0.018850012,-0.04033946,0.16154872,0.5144005,0.1274329,0.71420115,0,0.008021037,0,-0.054314688,158.65508,161.94623,154.8869,156.60393,0,0,0,0,0,0,0,0,0,0.120000005,0,0.120000005,0,-1.8447258,0,-1.4168378,0,1.8447433,0,1.4178785,-0.023801498,0.01020281,-0.023739807,0.030554641,116,4,98,2,10,395.34787,214.70865,-4975.245,56.94208,5142.7354,8.14116,132.09482,132.03685,123.96463,123.96463,-11.002949,1,0,0,0,0,355.4154,0,0,255,0,0,0,5,-127,0,0
True,584344546,9999.995,1099.9994,6268.32,-10.078499,-4.0616612,-1.175745,17.729223,0.054413185,53.640842,-0.015388072,-0.4623644,1.0028733,0.6839143,-0.021058673,0.014625385,0.15705232,0.5239617,0.15820095,0.56789994,0,0.06941747,0,0.07556316,169.51132,168.1109,160.62569,159.76268,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0.120000005,0.120000005,0,-1.4872086,0,-1.5836635,0,1.4888277,0,1.5854652,-0.024234816,0.0111242235,-0.020892799,0.017017193,116,4,98,2,10,400.16302,214.87167,-4972.2324,56.49485,246035.47,375.34097,131.33167,131.8625,123.84925,123.84925,-3.6382484,1,0,0,0,0,355.5156,0,0,255,0,0,0,5,0,0,0
True,584344671,9999.995,1099.9994,6421.0776,-25.753119,13.6321945,2.3672485,17.617922,0.033501625,52.826416,-0.23067886,-0.5045683,0.46676648,0.62758756,-0.026933901,0.07573664,0.89817494,0.966894,0.7448534,0.9427671,0.31888747,0.2271007,0.28230354,0.22025923,174.03148,173.41837,163.43114,163.63986,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0.120000005,0.120000005,-1.499645,-1.4745125,-1.6053355,-1.587722,1.5331746,1.4918987,1.6299684,1.602927,0.047187135,0.05380958,0.03339092,0.051704146,116,4,98,2,10,405.5796,215.09743,-4968.586,55.686825,376345.7,559.9503,130.99747,131.75606,124.25833,124.25833,0,1,0,0,0,0,355.63208,0,0,255,0,0,0,5,0,0,0
True,584344765,9999.995,1099.9994,6682.0723,-14.912922,1.7456656,1.5964231,18.696445,-0.1473183,52.06617,-0.05205795,-0.47066215,-0.25693992,0.57904226,-0.03360153,0.06531721,0.43322733,0.55360353,0.66066295,0.63041526,0,0.44889942,0.47637928,0.489595,182.31703,179.70032,168.754,171.29842,0,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0.120000005,0,-1.5683367,-1.6885183,-1.6702803,0,1.6313157,1.7544318,1.7405573,0.002380155,0.013980806,0.025600675,0.022801816,116,4,98,2,10,410.02676,215.38712,-4965.3003,55.32147,391808.22,559.3969,130.67068,131.52211,124.61426,124.61426,0,1,0,0,0,0,355.73184,0,0,255,0,0,0,5,0,0,0
